"Identifier","SourceString","Comment","DE","FR","NL","ES","PL","IT","RU"
"1636","This cache requires passing swampy or marshy ground or wading through shallow water. Wear appropriate clothes. After rainfall, the terrain may be very demanding or not passable at all.","0:table:cache_attrib;field=html_desc","Bei diesem Cache geht es durch sumpfiges oder matschiges Gel&auml;nde oder es muss durch flaches Wasser gewatet werden. Entsprechende Kleidung wird empfohlen. Nach Regenf&auml;llen kann das Gel&auml;nde wesentlich schwerer oder &uuml;berhaupt nicht begehbar sein.","This cache requires passing swampy or marshy ground or wading through shallow water. Wear appropriate clothes. After rainfall, the terrain may be very demanding or not passable at all.","This cache requires passing swampy or marshy ground or wading through shallow water. Wear appropriate clothes. After rainfall, the terrain may be very demanding or not passable at all.","This cache requires passing swampy or marshy ground or wading through shallow water. Wear appropriate clothes. After rainfall, the terrain may be very demanding or not passable at all.","","This cache requires passing swampy or marshy ground or wading through shallow water. Wear appropriate clothes. After rainfall, the terrain may be very demanding or not passable at all.","При поисках этого тайника придётся ходить по болоту или преодолевать залитые водой участки местности. Носите подходящую одежду и обувь. После ливня местность может стать непроходимой."
"1637","One or more ascents lie between you and the cache.","0:table:cache_attrib;field=html_desc","Auf dem Weg zum Geocache bzw. w&auml;hrend der Cachesuche sind eine oder mehrere Steigungen zu &uuml;berwinden.","One or more ascents lie between you and the cache.","One or more ascents lie between you and the cache.","One or more ascents lie between you and the cache.","","One or more ascents lie between you and the cache.",""
"1638","This cache requires some climbing and you may have to use your hands, but you won’t need climbing gear. Be very careful during rainy weather or before thunderstorms!","0:table:cache_attrib;field=html_desc","Während der Cachesuche ist leichtes Klettern notwendig, bei dem man sich z.B. mit den Händen festhalten muss. Gute Trittsicherheit und Schwindelfreiheit empfehlen sich. Es ist jedoch keine Spezialausrüstung notwendig wie z.B. Sicherungsseil, Klettersteigset oder Steigeisen. Besonders bei feuchter Witterung oder vor Gewittern sollte man mit der entsprechenden Vorsicht handeln.","This cache requires some climbing and you may have to use your hands, but you won’t need climbing gear. Be very careful during rainy weather or before thunderstorms!","This cache requires some climbing and you may have to use your hands, but you won’t need climbing gear. Be very careful during rainy weather or before thunderstorms!","This cache requires some climbing and you may have to use your hands, but you won’t need climbing gear. Be very careful during rainy weather or before thunderstorms!","","This cache requires some climbing and you may have to use your hands, but you won’t need climbing gear. Be very careful during rainy weather or before thunderstorms!",""
"1639","This cache requires crossing a river or a lake. The water is steep.","0:table:cache_attrib;field=html_desc","Auf dem Weg zum Geocache muss ein Fluss oder See überquert werden. Das Wasser ist tief genug um zu schwimmen. Je nach Örtlichkeit kann auch ein Schlauchboot, Kajak oder ähnliches verwendet werden (näheres ist in der Beschreibung zum Geocache zu finden). Die Entfernung ist aber ohne besondere Ausdauer noch zu schwimmen.","This cache requires crossing a river or a lake. The water is steep.","This cache requires crossing a river or a lake. The water is steep.","This cache requires crossing a river or a lake. The water is steep.","","This cache requires crossing a river or a lake. The water is steep.",""
"1640","There is a point of interest at the cache, like a nice scenic overlook or a larger castle ruin. This place is worth visiting it even without a geocache nearby.","0:table:cache_attrib;field=html_desc","Der Geocache ist in unmittelbarer N&auml;he zu einer Sehensw&uuml;rdigkeit versteckt. Das kann ein z.B. sch&ouml;ner Aussichtspunkt oder eine gr&ouml;&szlig;ere Burgruine sein. Ein Besuch w&uuml;rde sich auch ohne besonderen Anlass (den Geocache) lohnen.","There is a point of interest at the cache, like a nice scenic overlook or a larger castle ruin. This place is worth visiting it even without a geocache nearby.","There is a point of interest at the cache, like a nice scenic overlook or a larger castle ruin. This place is worth visiting it even without a geocache nearby.","There is a point of interest at the cache, like a nice scenic overlook or a larger castle ruin. This place is worth visiting it even without a geocache nearby.","","There is a point of interest at the cache, like a nice scenic overlook or a larger castle ruin. This place is worth visiting it even without a geocache nearby.",""
"1641","This geocache is moving around. For example, the owner might regularly move the cache from one place to another, or the finders will do this task and post new coordinates in their log entries. The owner must update coordinates in the cache description after each move.","0:table:cache_attrib;field=html_desc","Der Geocache ver&auml;ndert seine Position und ist deshalb nicht immer am gleichen Ort zu finden. Es gibt Varianten, bei denen der Geocache-Besitzer den Geocache regelm&auml;&szlig;ig an anderen Orten versteckt, oder der Finder den Geocache an einem neuen Ort versteckt. Danach muss der Besitzer jeweils die Beschreibung aktualisieren.","This geocache is moving around. For example, the owner might regularly move the cache from one place to another, or the finders will do this task and post new coordinates in their log entries. The owner must update coordinates in the cache description after each move.","This geocache is moving around. For example, the owner might regularly move the cache from one place to another, or the finders will do this task and post new coordinates in their log entries. The owner must update coordinates in the cache description after each move.","This geocache is moving around. For example, the owner might regularly move the cache from one place to another, or the finders will do this task and post new coordinates in their log entries. The owner must update coordinates in the cache description after each move.","","This geocache is moving around. For example, the owner might regularly move the cache from one place to another, or the finders will do this task and post new coordinates in their log entries. The owner must update coordinates in the cache description after each move.",""
"1642","There is a webcam at the target location. You must record a webcam picture of your visit and include it in your ""found"" log entry. There may be additional requirements like a geocaching banner on the photo. The webcam’s address is included in the cache description, and it must be publicly accessible, i.e. no user account or similar is required.","0:table:cache_attrib;field=html_desc","Am Ziel befindet sich eine Webcam, und für einen Fund muss man das Bild der Webcam von sich selbst aufnehmen, um nachzuweisen, dass man vor Ort war. Manche Webcam-Caches setzen auch weitere Bedingungen, z.B. einen Geocaching-Banner auf dem Bild. Die Webadresse der Webcam ist in der Beschreibung angegeben und erfordert kein Benutzerkonto o.ä., um das Webcam-Bild abzurufen.","There is a webcam at the target location. You must record a webcam picture of your visit and include it in your ""found"" log entry. There may be additional requirements like a geocaching banner on the photo. The webcam’s address is included in the cache description, and it must be publicly accessible, i.e. no user account or similar is required.","Aan het einde is een webcam en om te loggen dient een opname uit die webcam waar men dan op staat te krijgen om te bewijzen dat men daar daadwerkelijk was. Sommige webcam-caches vragen wat extra's zoals een banner te tonen. Het webadres dient aangegeven te worden in de beschrijving, en dient vrij toegankelijk te zijn, zonder een account te hoeven maken en vrij van kosten.","There is a webcam at the target location. You must record a webcam picture of your visit and include it in your ""found"" log entry. There may be additional requirements like a geocaching banner on the photo. The webcam’s address is included in the cache description, and it must be publicly accessible, i.e. no user account or similar is required.","","There is a webcam at the target location. You must record a webcam picture of your visit and include it in your ""found"" log entry. There may be additional requirements like a geocaching banner on the photo. The webcam’s address is included in the cache description, and it must be publicly accessible, i.e. no user account or similar is required.",""
"1643","This geocache is not hidden in the open air, but within a building, a cave or similar.","0:table:cache_attrib;field=html_desc","Das Ziel des Geocaches liegt nicht im Freien, sondern zum Beispiel in einem Geb&auml;ude oder einer H&ouml;hle.","This geocache is not hidden in the open air, but within a building, a cave or similar.","Deze cache in niet geplaatst in open gebied, maar in een gebouw, een grot of iets dergelijks.","This geocache is not hidden in the open air, but within a building, a cave or similar.","","This geocache is not hidden in the open air, but within a building, a cave or similar.",""
"1644","This cache or one of the stages is placed underwater. You may have to enter the water, swim or dive.","0:table:cache_attrib;field=html_desc","Der Geocache oder eine der Stationen ist im Wasser versteckt. Um die Aufgabe zu l&ouml;sen muss man ggf. das Wasser betreten, schwimmen oder tauchen.","This cache or one of the stages is placed underwater. You may have to enter the water, swim or dive.","Deze cache of één van de punten is geplaatst onder water. Men dient in het water te gaan, te zwemmen of te duiken.","This cache or one of the stages is placed underwater. You may have to enter the water, swim or dive.","","This cache or one of the stages is placed underwater. You may have to enter the water, swim or dive.",""
"1645","This cache can be found without a GPS device. No additional coordinates are used besides of the starting coordinates.","0:table:cache_attrib;field=html_desc","Dieser Cache l&auml;sst sich auch ohne GPS-Empf&auml;nger finden. Die Aufgaben sind so gestellt, dass man außer den Startkoordinaten keine weiteren Koordinaten verwenden muss.","This cache can be found without a GPS device. No additional coordinates are used besides of the starting coordinates.","Deze cache kan gevonden worden zonder GPS. Behalve de startcoördinaten heeft men geen andere coördinaten nodig om de cache te zoeken.","This cache can be found without a GPS device. No additional coordinates are used besides of the starting coordinates.","","This cache can be found without a GPS device. No additional coordinates are used besides of the starting coordinates.",""
"1646","You must pay an access or parking fee to access this cache, e.g. if the cache is located within a theme park. If there are alternative free parking areas nearby, please include them in the cache description. Please note our current terms of use regarding ""commercial geocaches"".","0:table:cache_attrib;field=html_desc","Um zum Cache zu gelangen, müsst ihr entweder einen Eintritt oder eine Parkgebühr bezahlen. Ein Eintrittsgeld könnte z.B. in einem Freizeitpark anfallen. Falls es trotzdem nahegelegene, entgeltfreie Parkmöglichkeiten gibt, möchten wie euch bitten darauf in der Beschreibung hinzuweisen. Bitte beachtet auch die aktuellen Nutzungsbedingungen zum Thema &bdquo;kommerzielle Geocaches&ldquo;.","You must pay an access or parking fee to access this cache, e.g. if the cache is located within a theme park. If there are alternative free parking areas nearby, please include them in the cache description. Please note our current terms of use regarding ""commercial geocaches"".","Er dient parkeergeld en/of entree betaald te worden om deze cache te doen, bijvoorbeeld in een themapark. Als er een alternatie gratis parkeerplaats in de buurt is dient dat ook in de cachebeschrijving vermeld te worden. Let op onze huidige voorwaarden voor het gebruik met betrekking tot ""commerciële caches"".","You must pay an access or parking fee to access this cache, e.g. if the cache is located within a theme park. If there are alternative free parking areas nearby, please include them in the cache description. Please note our current terms of use regarding ""commercial geocaches"".","","You must pay an access or parking fee to access this cache, e.g. if the cache is located within a theme park. If there are alternative free parking areas nearby, please include them in the cache description. Please note our current terms of use regarding ""commercial geocaches"".",""
"1647","This cache cannot be done within a single day or a single night. You will have to visit the location for more than one time, or you must stay overnight. Preparation time is not included in this calculation, but only the time on site.","0:table:cache_attrib;field=html_desc","Der Geocache kann nicht mit einer einzigen Tages- oder Nachttour gel&ouml;st werden. Er muss entweder mehrmals angefahren werden oder es muss vor Ort &uuml;bernachtet werden. Bei diesem Attribut soll die Zeit f&uuml;r Recherchen vorab nicht ber&uuml;cksichtigt werden, sondern nur die Zeit vor Ort.","This cache cannot be done within a single day or a single night. You will have to visit the location for more than one time, or you must stay overnight. Preparation time is not included in this calculation, but only the time on site.","Deze cache kan niet in één dag of nacht gedaan worden. De locatie zal verschillende keren bezocht moeten worden of moeten overnachten. Voorbereidingstijd is niet berekend, alleen de tijd tijdens het cachen.","This cache cannot be done within a single day or a single night. You will have to visit the location for more than one time, or you must stay overnight. Preparation time is not included in this calculation, but only the time on site.","","This cache cannot be done within a single day or a single night. You will have to visit the location for more than one time, or you must stay overnight. Preparation time is not included in this calculation, but only the time on site.",""
"1648","A newsentry was created on opencaching","","Ein Newseintrag wurde auf Opencaching erstellt","A newsentry was created on opencaching","Een nieuwsbericht is gemaakt op opencaching","Una nueva entrada se ha creado en Opencaching","","A newsentry was created on opencaching",""
"1650","The called page does not exist!","29:./lang/de/expressions.inc.php","Die aufgerufene Seite existiert nicht!","The called page does not exist!","De opgevraagde pagina bestaat niet!","¡La página solicitada no existe!","","The called page does not exist!",""
"1652","Redirect - opencaching","12:./lang/de/ocstyle/redirect.tpl.php","Weiterleitung - opencaching","Redirect - opencaching","Redirect - opencaching","Redirect - opencaching","","Redirect - opencaching",""
"1653","Do you really want to delete the saved search?","33:./templates2/ocstyle/query.tpl","Soll die gespeicherte Suche wirklich gel&ouml;scht werden?","Do you really want to delete the saved search?","Moet de opgeslagen zoek resultaten verwijdert worden?","Do you really want to delete the saved search?","","Do you really want to delete the saved search?",""
"1654","Status","19:./templates2/ocstyle/myignores.tpl","Status","Status","Status","Status","","Status",""
"1655","Set status","171:./templates2/ocstyle/adminreports.tpl","Status ändern","Set status","Set status","Set status","","Set status",""
"1657","to","2556:./templates2/ocstyle/map2.tpl","bis","to","tot","to","","to",""
"1658","Route","0:table:attribute_groups;field=name","Der Weg","Route","Route","Route","","Route","Путь"
"1659","Cache&nbsp;size:","394:./templates2/ocstyle/search.tpl","Cachegröße:","Cache&nbsp;size:","Cachegrootte:","Cache&nbsp;size:","","Cache&nbsp;size:","Размер контейнера"
"1660","Link","","Link","Link","Link","Enlace","","Link",""
"1661","Open","","Öffnen","Open","Openen","Abierto","","Open",""
"1662","Add to favorites...","2303:./templates2/ocstyle/map2.tpl","Zu den Favoriten hinzufügen...","Add to favorites...","Aan favorieten toevoegen","Add to favorites...","","Add to favorites...",""
"1663","Caches displayed:","2222:./templates2/ocstyle/map2.tpl","angezeigte Geocaches:","Caches displayed:","Getoonde caches:","Caches displayed:","","Caches displayed:",""
"1664","Time to load:","2422:./templates2/ocstyle/map2.tpl","Ladezeit:","Time to load:","Laadtijd:","Time to load:","","Time to load:",""
"1665","Sec.","2422:./templates2/ocstyle/map2.tpl","Sek.","Sec.","sec.","Sec.","","Sec.",""
"1666","Only show Geocaches with the following properties:","2416:./templates2/ocstyle/map2.tpl","Nur Geocaches mit folgenden Eigenschaften anzeigen:","Only show Geocaches with the following properties:","Alleen caches met de volgende eigenschappen tonen:","Only show Geocaches with the following properties:","","Only show Geocaches with the following properties:",""
"1667","Cachetype","2454:./templates2/ocstyle/map2.tpl","Cacheart","Cachetype","Cache soort","Cachetype","","Cachetype",""
"1668","Container","2469:./templates2/ocstyle/map2.tpl","Behälter","Container","Cache behuizing","Container","","Container",""
"1669","Hide","2485:./templates2/ocstyle/map2.tpl","Ausblenden","Hide","Verbergen","Hide","","Hide",""
"1670","My owns","2490:./templates2/ocstyle/map2.tpl","meine eigenen","My owns","Mijn eigen","My owns","","My owns",""
"1672","GC listings","2520:./templates2/ocstyle/map2.tpl","auf GC gelistet","GC listings","GC listings","GC listings","","GC listings",""
"1673","Rating","2538:./templates2/ocstyle/map2.tpl","Bewertung","Rating","Waardering","Rating","","Rating",""
"1674","Min. recommendations:","2604:./templates2/ocstyle/map2.tpl","min. Empfehlungen:","Min. recommendations:","Min. aanbevelingen:","Min. recommendations:","","Min. recommendations:",""
"1678","Enter a search text, please!","1681:./templates2/ocstyle/map2.tpl","Bitte Suchtext eingeben!","Enter a search text, please!","Voer een zoektekst in, alstublieft!","Enter a search text, please!","","Enter a search text, please!",""
"1680","Waypoint %1 not found!","1113:./templates2/ocstyle/map2.tpl","Wegpunkt %1 nicht gefunden!","Waypoint %1 not found!","Waypoint %1 niet gevonden!","Waypoint %1 not found!","","Waypoint %1 not found!",""
"1681","D/T:","","D/T:","D/T:","M/T:","D/T","","D/T:",""
"1683","Error: Unable to download the search result (HTTP error code %1)","684:./templates2/ocstyle/map2.tpl","Fehler: Das Suchergebnis konnte nicht heruntergeladen werden (HTTP-Fehlercode %1)","Error: Unable to download the search result (HTTP error code %1)","Fout: Het zoek resultaat kan niet weergegeven worden (HTTP fout code %1)","Error: Unable to download the search result (HTTP error code %1)","","Error: Unable to download the search result (HTTP error code %1)",""
"1684","Error: Unable to download the search result. The data was not available on the server.","700:./templates2/ocstyle/map2.tpl","Fehler: Das Suchergebnis konnte nicht heruntergeladen werden. Die Daten waren auf dem Server nicht verfügbar.","Error: Unable to download the search result. The data was not available on the server.","Fout: Het zoek resultaat kan niet weergegeven worden. De gegevens zijn niet beschikbaar op de server.","Error: Unable to download the search result. The data was not available on the server.","","Error: Unable to download the search result. The data was not available on the server.",""
"1685","There are %1 Geocaches in the selected area, matching the filter options. Please zoom in to display the caches.","1445:./templates2/ocstyle/map2.tpl","Es sind %1 Geocaches auf dem Kartenausschnitt. Bitte vergrößere die Ansicht, um die Geocaches anzuzeigen.","There are %1 Geocaches in the selected area, matching the filter options. Please zoom in to display the caches.","Er zijn %1 caches gevonden in dit gebied. Zoom in om de caches te zien.","There are %1 Geocaches in the selected area, matching the filter options. Please zoom in to display the caches.","","There are %1 Geocaches in the selected area, matching the filter options. Please zoom in to display the caches.",""
"1687","Create a logentry","79:./lang/de/ocstyle/lib/menu.php","Neuer Logeintrag","Create a logentry","Nieuwe log","Create a logentry","","Create a logentry",""
"1688","Edit logentry","86:./lang/de/ocstyle/lib/menu.php","Logeintrag bearbeiten","Edit logentry","Log bewerken","Edit logentry","","Edit logentry",""
"1689","Remove logentry","93:./lang/de/ocstyle/lib/menu.php","Logeintrag entfernen","Remove logentry","Log verwijderen","Remove logentry","","Remove logentry",""
"1690","Edit cache","107:./lang/de/ocstyle/lib/menu.php","Cache bearbeiten","Edit cache","Cache bewerken","Edit cache","","Edit cache",""
"1691","Add description","114:./lang/de/ocstyle/lib/menu.php","Beschreibung hinzufügen","Add description","Beschrijving toevoegen","Add description","","Add description",""
"1692","Edit description","121:./lang/de/ocstyle/lib/menu.php","Beschreibung bearbeiten","Edit description","Beschrijving bewerken","Edit description","","Edit description",""
"1693","Remove description","128:./lang/de/ocstyle/lib/menu.php","Beschreibung löschen","Remove description","Beschrijving verwijderen","Remove description","","Remove description",""
"1694","Select city","137:./lang/de/ocstyle/lib/menu.php","Ortschaft auswählen","Select city","Kies plaats","Select city","","Select city",""
"1695","Show search result","144:./lang/de/ocstyle/lib/menu.php","Suchergebnis anzeigen","Show search result","Bekijk zoek resultaat","Show search result","","Show search result",""
"1696","Result","145:./lang/de/ocstyle/lib/menu.php","Ergebnis","Result","Resultaat","Result","","Result",""
"1697","Description - Create a cache","167:./lang/de/ocstyle/lib/menu.php","Beschreibung - Neuen Cache eintragen","Description - Create a cache","Beschrijving - Nieuwe cache aanmaken","Description - Create a cache","","Description - Create a cache",""
"1698","Add picture","227:./lang/de/ocstyle/lib/menu.php","Bild hinzufügen","Add picture","Afbeelding toevoegen","Add picture","","Add picture",""
"1699","Message","248:./lang/de/ocstyle/lib/menu.php","Meldung","Message","Bericht","Message","","Message",""
"1700","There is no google maps key registered for this domain.","137:./map2.php","Es ist kein Google-Maps-Key für diese Domain registriert.","There is no google maps key registered for this domain.","Er is geen Google Maps Key geregistreerd voor dit domein.","There is no google maps key registered for this domain.","","There is no google maps key registered for this domain.",""
"1701","Attention! This Geocache is &quot;<span class=""errormsg"">%1</span>&quot;!</strong> There is no physical container at the specified (or to be determined) coordinates. In the interest of the place it should not be necessarily to search!","9:./templates2/ocstyle/res_state_warning.tpl","Achtung! Dieser Geocache ist &bdquo;<span class=""errormsg"">%1</span>&ldquo;!</strong> Es befindet sich kein Behälter an den angegebenen (oder zu ermittelnden) Koordinaten. Im Interesse des Ortes sollte von einer Suche unbedingt abgesehen werden!","Attention! This Geocache is &quot;<span class=""errormsg"">%1</span>&quot;!</strong> There is no physical container at the specified (or to be determined) coordinates. In the interest of the place it should not be necessarily to search!","Attentie! Deze cache is &quot;<span class=""errormsg"">%1</span>&quot;!</strong> Er bevind zich geen behuizing op de aangegeven (of uitgerekende) coördinaten. Het is dan ook raadzaam om deze cache niet te gaan zoeken!","Attention! This Geocache is &quot;<span class=""errormsg"">%1</span>&quot;!</strong> There is no physical container at the specified (or to be determined) coordinates. In the interest of the place it should not be necessarily to search!","","Attention! This Geocache is &quot;<span class=""errormsg"">%1</span>&quot;!</strong> There is no physical container at the specified (or to be determined) coordinates. In the interest of the place it should not be necessarily to search!",""
"1702","Attention! This Geocache is &quot;<span class=""errormsg"">%1</span>&quot;!</strong> The geocache itself or parts of it are missing or there are other issues that make a successful search impossible. In the interest of the place it should not be necessarily to search!","13:./templates2/ocstyle/res_state_warning.tpl","Achtung! Dieser Geocache ist &bdquo;<span class=""errormsg"">%1</span>&ldquo;!</strong> Der Geocache selbst oder Teile davon sind nicht vorhanden oder es gibt andere Probleme, die eine erfolgreiche Suche unmöglich machen. Im Interesse des Ortes sollte von einer Suche unbedingt abgesehen werden!","Attention! This Geocache is &quot;<span class=""errormsg"">%1</span>&quot;!</strong> The geocache itself or parts of it are missing or there are other issues that make a successful search impossible. In the interest of the place it should not be necessarily to search!","Attentie! Deze cache is &quot;<span class=""errormsg"">%1</span>&quot;!</strong> De cache zelf of delen ervan zijn niet beschikbaar of er zijn andere problemen, die het vinden niet mogelijk kunnen maken. Het is dan ook raadzaam om deze cache niet te gaan zoeken!","Attention! This Geocache is &quot;<span class=""errormsg"">%1</span>&quot;!</strong> The geocache itself or parts of it are missing or there are other issues that make a successful search impossible. In the interest of the place it should not be necessarily to search!","","Attention! This Geocache is &quot;<span class=""errormsg"">%1</span>&quot;!</strong> The geocache itself or parts of it are missing or there are other issues that make a successful search impossible. In the interest of the place it should not be necessarily to search!",""
"1703","You have attended this event!","1207:./templates2/ocstyle/map2.tpl","Du hast dieses Event besucht!","You have attended this event!","U heeft dit evenement bezocht!","You have attended this event!","","You have attended this event!",""
"1704","You have already found this cache!","106:./templates2/ocstyle/viewcache.tpl","Du hast diesen Geocache bereits gefunden!","You have already found this cache!","Je hebt deze cache al gevonden!","You have already found this cache!","","You have already found this cache!",""
"1705","<i>Obsolete: This attribute cannot be assigned to new caches, because it does not fit our current terms of use.</i><br />This cache is listed at multiple geocaching sites, and the cache description at Opencaching may be incomplete. Links to the description at the external site(s) should be included in the listing. Please note that descriptions and status of multiple-listed caches have to be equally maintained at all sites including Opencaching, according to our current terms of use.","0:table:cache_attrib;field=html_desc","<i>Veraltet: Dieses Attribut kann bei neuen Geocaches nicht mehr verwendet werden, weil das Attribut unsere aktuellen Nutzungsbedingungen nicht erfüllt</i><br />Dieser Cache ist auf mehreren Geocaching-Seiten gelistet, und die Beschreibung bei Opencaching kann unvollständig sein. Die vollständige Beschreibung auf der/den externen Seiten sollte im Opencaching-Listing verlinkt sein. Wir weisen darauf hin, dass nach unseren aktuellen Nutzungsbedingungen auch stets auf Opencaching die Beschreibungen und der Cachestatus vom Eigentümer aktuell gehalten werden müssen. Dieses Attribut ermöglicht es z.B. PDA-Benutzern, Geocaches gezielt zu filtern, die keine vollständige Beschreibung enthalten und deshalb nicht unterwegs gelöst werden können. ","<i>Obsolete: This attribute cannot be assigned to new caches, because it does not fit our current terms of use.</i><br />This cache is listed at multiple geocaching sites, and the cache description at Opencaching may be incomplete. Links to the description at the external site(s) should be included in the listing. Please note that descriptions and status of multiple-listed caches have to be equally maintained at all sites including Opencaching, according to our current terms of use.","<i>Veroudert: Deze attribuut kan bij nieuwe caches niet meer gebruikt worden, omdat het attribuut niet meer aan de actuele gebruikersvoorwaarden voldoet</i><br />Deze cache is niet alleen op opencaching geplaatst, maar ook op andere cachesites. Dit geldt voor caches die door hun eigenaars gekoppeld aan de overeenkomstige vermeldingen op andere sites. Wij wijzen er op, dat ook op opencaching de veranderingen die de cache ondergaat vermeld dienen te worden zoals ook omschreven wordt in de gebruikersverklaring.","<i>Obsolete: This attribute cannot be assigned to new caches, because it does not fit our current terms of use.</i><br />This cache is listed at multiple geocaching sites, and the cache description at Opencaching may be incomplete. Links to the description at the external site(s) should be included in the listing. Please note that descriptions and status of multiple-listed caches have to be equally maintained at all sites including Opencaching, according to our current terms of use.","","<i>Obsolete: This attribute cannot be assigned to new caches, because it does not fit our current terms of use.</i><br />This cache is listed at multiple geocaching sites, and the cache description at Opencaching may be incomplete. Links to the description at the external site(s) should be included in the listing. Please note that descriptions and status of multiple-listed caches have to be equally maintained at all sites including Opencaching, according to our current terms of use.",""
"1706","This OC node","166:./lang/de/ocstyle/main.tpl.php","Diese OC-Seite","This OC node","Deze OC-site","This OC node","","This OC node",""
"1707","Other OC nodes","168:./lang/de/ocstyle/main.tpl.php","Andere OC-Seiten","Other OC nodes","Andere OC-sites","Other OC nodes","","Other OC nodes",""
"1708","The next events in %1","70:./templates2/ocstyle/start.tpl","Die nächsten Events in %1","The next events in %1","De volgende evenementen in %1","The next events in %1","","The next events in %1",""
"1709","Geocaches with most recommendations in the last %2 days in %1.","100:./templates2/ocstyle/start.tpl","Geocaches mit den meisten Empfehlungen innerhalb der letzten %2 Tage in %1.","Geocaches with most recommendations in the last %2 days in %1.","Geocaches with most recommendations in the last %2 days in %1.","Geocaches with most recommendations in the last %2 days in %1.","","Geocaches with most recommendations in the last %2 days in %1.",""
"1710","Newest caches in %1","143:./templates2/ocstyle/start.tpl","Neueste Caches in %1","Newest caches in %1","Nieuwste caches in %1","Newest caches in %1","","Newest caches in %1","Новые тайники в %1"
"1711","You need %1 more found log(s) to make another recommendation.","287:./templates2/ocstyle/log_cache.tpl","Du benötigst noch %1 Fund(e), um eine weitere Empfehlung vorzunehmen.","You need %1 more found log(s) to make another recommendation.","You need %1 more found log(s) to make another recommendation.","You need %1 more found log(s) to make another recommendation.","","You need %1 more found log(s) to make another recommendation.",""
"1713","You have recommended this cache.","","Du hast diesen Cache empfohlen.","You have recommended this cache.","Je hebt deze cache aanbevolen.","Has recomendado este cache.","","You have recommended this cache.",""
"1714","Revoke the recommendation","","Die Empfehlung zurückziehen","Revoke the recommendation","Aanbeveling terugtrekken","Revocar la recomendación","","Revoke the recommendation",""
"1717","Please select!","295:./newcache.php","Bitte auswählen!","Please select!","Alstublieft kiezen!","Please select!","","Please select!",""
"1718","Results on this page","89:./templates2/ocstyle/search.result.caches.tpl","Ergebnisse auf dieser Seite","Results on this page","Resultaat op deze pagina","Results on this page","","Results on this page",""
"1722","Do you really want to delete this entry?","29:./templates2/ocstyle/myignores.tpl","Möchtest du diesen Eintrag wirklich entfernen?","Do you really want to delete this entry?","Moet deze log werkelijk verwijderd worden?","Do you really want to delete this entry?","","Do you really want to delete this entry?",""
"1723","Do you really want to remove this recommendation?","41:./templates2/ocstyle/mytop5.tpl","Möchtest du wirklich die Empfehlung widerrufen?","Do you really want to remove this recommendation?","Moet deze aanbeveling werkelijk verwijderd worden?","Do you really want to remove this recommendation?","","Do you really want to remove this recommendation?",""
"1724","Route:","233:./templates2/ocstyle/viewcache.tpl","Strecke:","Route:","Route:","Route:","","Route:",""
"1725","Download as...","296:./templates2/ocstyle/viewcache.tpl","Download als ...","Download as...","Download als ...","Download as...","","Download as...",""
"1726","Remove log entry for <a href=""viewcache.php?cacheid={cacheid}"">{cachename}</a>","17:./lang/de/ocstyle/removelog_cacheowner.tpl.php","Logeintrag für <a href=""viewcache.php?cacheid={cacheid}"">{cachename}</a> entfernen","Remove log entry for <a href=""viewcache.php?cacheid={cacheid}"">{cachename}</a>","Log voor <a href=""viewcache.php?cacheid={cacheid}"">{cachename}</a> verwijderen","Remove log entry for <a href=""viewcache.php?cacheid={cacheid}"">{cachename}</a>","","Remove log entry for <a href=""viewcache.php?cacheid={cacheid}"">{cachename}</a>",""
"1727","Add new cache description to <a href=""viewcache.php?cacheid={cacheid}"">{name}</a>","31:./lang/de/ocstyle/newdesc.tpl.php","Neue Beschreibung für <a href=""viewcache.php?cacheid={cacheid}"">{name}</a> hinzufügen","Add new cache description to <a href=""viewcache.php?cacheid={cacheid}"">{name}</a>","Nieuwe beschrijving voor <a href=""viewcache.php?cacheid={cacheid}"">{name}</a> toevoegen","Add new cache description to <a href=""viewcache.php?cacheid={cacheid}"">{name}</a>","","Add new cache description to <a href=""viewcache.php?cacheid={cacheid}"">{name}</a>",""
"1728","Send to GPS device","305:./templates2/ocstyle/viewcache.tpl","An GPS-Gerät senden","Send to GPS device","Verstuur naar GPS","Send to GPS device","","Send to GPS device",""
"1729","Geokrety history","259:./templates2/ocstyle/viewcache.tpl","Geokrety-Verlauf","Geokrety history","Geokrety verleden","Geokrety history","","Geokrety history",""
"1730","New forum topcis (%1)","113:./templates2/ocstyle/start.tpl","Aktuelle Forenthemen (%1):","New forum topcis (%1)","Nieuw forum topic(s) (%1)","New forum topcis (%1)","","New forum topcis (%1)",""
"1731","Team blog","","Teamblog","Team blog","Team blog","Team blog","","Team blog",""
"1732","Forum","","Forum","Forum","Forum","Foro","","Forum",""
"1733","Geokrety","197:./lib/settings-dist.inc.php","GeoKrety","Geokrety","GeoKrety","Geokrety","","Geokrety",""
"1735","For Event Caches: The date of event!","333:./lang/de/ocstyle/editcache.tpl.php","Bei Events: Eventdatum!","For Event Caches: The date of event!","For Event Caches: The date of event!","For Event Caches: The date of event!","","For Event Caches: The date of event!",""
"1736","User-ID:","43:./templates2/ocstyle/adminuser.tpl","Benutzer-ID:","User-ID:","Gebruiker-ID:","User-ID:","","User-ID:",""
"1737","List","182:./templates2/ocstyle/viewcache.tpl","Liste","List","Lijst","List","","List",""
